903.162010409  0.831185358991 31.1
702.763607286  0.979522356696 124
1402.93108192  0.891619852719 1.9
702.763607286  0.0784926253851 138
903.162010409  0.355944586949 20.8
903.162010409  0.0125640223891 20.9
1402.93014033  0.817452361558 1.4
403.396887478  0.147169075543 6496
702.762377153  0.468573675177 94.9
1402.92986697  0.965789032809 6.0
1303.97343246  0.916340322699 3.4
403.397494951  0.292762279783 2106
1501.89419863  0.89985911118 1.8
403.397494951  0.0317945008758 3256
603.799552025  0.976778195633 482
1202.53116618  0.699326193599 5.4
1402.92834829  0.224089202086 3.5
804.202808859  0.136183925947 116
1002.12516357  0.0125674285743 12.9
1303.97154929  0.883377221797 2.3
1002.12516357  0.952056700425 22.8
1501.8933178  0.759759345088 1.3
403.396614115  0.702073059375 4926
804.204327541  0.67185527629 30.6
304.433163289  0.787235587513 13893
702.762377153  0.155411841363 158
1501.8933178  0.0070711272072 1.8
1501.8933178  0.831189203596 1.2
304.433163289  0.416383296253 23526
1002.12516357  0.636143953883 9.0
1501.8933178  0.207608762861 3.0
1002.12516357  0.105967184952 43.5
1501.8933178  0.0372914430104 4.9
304.433163289  0.105967184952 9195
1202.53054049  0.87239257807 3.8
1402.92774081  0.0757499043631 11.5
903.159580517  0.592195072734 15.8
1202.52993909  0.438359598426 6.5
502.35939672  0.452095799021 1019
1202.52993909  0.611423308535 5.0
1103.56527939  0.00982022217972 9.8
1202.52993909  0.262549383393 9.4
1303.97097219  0.16090777176 6.7
1402.9274067  0.520772916927 1.6
1202.53023979  0.908110139529 4.5
1103.56558313  0.76526147744 8.0
1303.97127593  0.0812455649627 16.9
702.761174356  0.622414167707 72.0
1103.56588383  0.575714700958 5.7
603.797720493  0.369686352105 368
1202.52933769  0.00982116646868 5.7
1303.97036472  0.402648781887 3.4
1103.56467799  0.19387252854 14.7
403.394153848  0.850423189442 4153
702.759667823  0.778994136952 67.4
603.79621396  0.921842795669 562
804.200688777  0.405397674512 41.8
603.79621396  0.811961287505 638
1303.96975725  0.724058777458 1.9
1402.92622213  0.372432546761 2.1
1002.12454699  0.31749179133 14.1
1501.89271032  0.0702573801518 9.7
804.200688777  0.941073921668 66.9
1402.92622213  0.921841682757 2.7
1103.5640523  0.957556721616 10.3
1303.96975725  0.240571631063 4.7
1303.96975725  0.0427835288018 7.8
1002.12333204  0.529011403095 9.1
502.358212147  0.974027815753 4333
1103.56527939  0.0482772333743 19.1
304.431310496  0.891621744669 11076
804.202508159  0.539998889806 41.8
1002.12485072  0.213100916101 18.4
304.432829179  0.0427825507882 6465
304.432829179  0.954803771921 22734
804.204026842  0.0153104531178 49.6
1002.12636637  0.888872177552 14.2
1303.97282499  0.00981671482071 3.1
1501.89514021  0.968539810639 6.1
502.361856986  0.114204487386 2375
1002.12697992  0.985021028902 20.8
502.361856986  0.905354397437 1216
304.434621225  0.831186573077 12939
304.434621225  0.207605120603 27162
1202.53207132  0.0455294199368 13.0
702.763907985  0.31199188143 140
804.204941089  0.270787124247 63.9
1501.89693226  0.553732547567 1.3
903.162314146  0.877886721062 31.1
1501.89693226  0.485055766908 1.4
1501.89693226  0.416378642257 1.6
1402.93108192  0.00981499486581 2.2
804.205545525  0.806457668235 40.1
1303.97370582  0.987769580909 6.0
603.800153423  0.0922295004732 538
1103.56831676  0.671854335374 6.0
1303.97400956  0.322980066241 3.7
1501.89632479  0.622406977621 1.2
502.363071932  0.883374726176 1320
1103.57014829  0.287268676385 9.9
