150.132848512  87.1588022225 1090
150.132848512  101.500023195 118
150.132848512  121.356803994 166
160.106089618  131.285182796 230
175.620231942  87.1588486117 44
175.620231942  101.500069584 35
175.620231942  126.872294237 50
175.620231942  146.729537768 793
184.485388426  156.657916571 602
200.0  87.1587790279 58
200.0  101.5 43
200.0  126.872223493 23
200.0  151.141895171 47
209.97324134  180.927473435 229
224.378799968  101.5 21
224.378799968  126.872223493 35
224.378799968  151.141895171 23
224.378799968  176.515045289 14
224.378799968  196.371829567 1026
239.892938564  210.712584328 193
249.866183398  87.1584311089 1.7
249.866183398  101.499652081 3.2
249.866183398  126.871879054 7.1
249.866183398  151.141546092 18
249.866183398  176.514700849 6.8
249.866183398  200.783902836 24
249.866183398  220.641148687 291
274.245516922  151.141660906 3.2
274.245516922  176.514815662 4.2
274.245516922  200.784017649 12
274.245516922  226.157172406 16
274.245516922  246.013953205 184
299.732843269  101.5 0.46
299.732843269  151.141895171 1.4
299.732843269  176.515045289 6.8
299.732843269  200.784248436 2.7
299.732843269  226.157404352 5.5
299.732843269  250.426609818 8.5
299.732843269  271.386873696 43
349.599515955  87.1591269469 0.25
349.599515955  151.142240771 0.28
349.599515955  200.784602153 1.0
349.599515955  250.42694614 2.0
349.599515955  301.171986909 12
349.599515955  321.029683894 47
399.466666278  101.500927784 0.18
399.466666278  200.785177379 0.21
399.466666278  250.427537602 0.83
399.466666278  301.172566774 1.3
399.466666278  350.814924677 7.6
399.466666278  370.67263326 24
449.333338964  87.1604026499 0.2
449.333338964  101.501623622 0.17
449.333338964  151.143518793 0.12
449.333338964  200.785875537 0.16
449.333338964  250.428245037 0.18
449.333338964  301.173262612 0.61
449.333338964  350.815620515 1.2
449.333338964  400.457978418 8.1
449.333338964  420.315698599 11
499.2  101.501275703 0.12
499.2  200.785531097 0.11
499.2  250.427885521 0.12
499.2  301.17292629 0.19
499.2  350.815284193 0.64
499.2  400.457618902 2.6
499.2  450.1 4.6
499.2  469.957221497 6.9
549.066229997  87.1605186229 0.14
549.066229997  101.501739595 0.09
549.066229997  151.143633606 0.08
549.066229997  200.78599151 0.07
549.066229997  250.428349413 0.08
549.066229997  301.173378585 0.1
549.066229997  350.815736488 0.16
549.066229997  400.458082794 0.59
549.066229997  450.100452295 1.4
598.932879383  87.1606345959 0.12
598.932879383  101.501855568 0.11
598.932879383  151.14374842 0.06
598.932879383  200.786106323 0.06
598.932879383  250.428476983 0.05
598.932879383  301.173494558 0.08
598.932879383  350.815852461 0.11
598.932879383  400.458221962 0.15
598.932879383  450.10055667 0.27
648.799563719  87.1607505689 0.14
648.799563719  101.501971541 0.09
648.799563719  151.143864393 0.06
648.799563719  200.786221136 0.04
648.799563719  250.428581359 0.04
648.799563719  301.173610531 0.05
648.799563719  350.815968434 0.04
648.799563719  400.458326337 0.1
648.799563719  450.100672643 0.12
