#: table_doi: 10.17182/hepdata.95354.v2/t22
#: name: Cut-flow table for 700 GeV (higgsino LSP) 2018B
#: description: Predicted signal yields for the 2018B data-taking period, corresponding to $38.6\,\text{fb}^{-1}$, after the application of each search requirement for three chargino lifetime hypotheses ($\tau = 0.3$, $3.3$, and $33\,\text{ns}{}$) with a chargino mass of $700\,\text{GeV}{}$ in the case of a purely higgsino neutralino LSP. Excepting the final three, the requirements listed are cumulative such that only the events and objects passing a given requirement are considered in subsequent requirements. In the case of the final three requirements on the number of tracker layers with measurement, these are exclusive signal category selections where only one is applied for each category. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: cut-flow_table_for_700_gev_(higgsino_lsp)_2018b.yaml
Requirement,"Number of passing events for $\tau = 0.3\,\text{ns}{}$",1 s.d. +,1 s.d. -
total,221.3,1.0,-1.0
trigger,32.0,0.4,-0.4
passes $p_{\text{T}}^{\text{miss}}$ filters,32.0,0.4,-0.4
"$p_{\text{T}}^{\text{miss}} > 120\,\text{GeV}{}$",31.6,0.4,-0.4
"$\geq 1$ jet with $p_{\text{T}} > 110\,\text{GeV}{}$ and $|\eta| < 2.4$",28.6,0.4,-0.4
"==0 pairs of jets with $\Delta\phi_{\text{jet, jet}} > 2.5$",24.6,0.3,-0.3
"$|\Delta\phi(\mbox{leading jet}, \vec{p}_{\text{T}}^{\text{miss}})| > 0.5$",24.6,0.3,-0.3
$\geq 1$ track with $|\eta| < 2.1$,24.1,0.3,-0.3
"$\geq 1$ track with $p_{\text{T}} > 55\,\text{GeV}{}$",10.3,0.2,-0.2
$\geq 1$ track passing fiducial selections,6.67,0.17,-0.17
$\geq 1$ track with $\geq 4$ pixel hits,3.65,0.13,-0.13
$\geq 1$ track with no missing inner hits,3.62,0.13,-0.13
$\geq 1$ track with no missing middle hits,3.22,0.12,-0.12
$\geq 1$ track with relative track isolation $< 5\%$,1.24,0.07,-0.07
"$\geq 1$ track with $|d_{\text{xy}}| < 0.02\,\text{cm}{}$",1.23,0.07,-0.07
"$\geq 1$ track with $|d_z| < 0.5\,\text{cm}{}$",1.23,0.07,-0.07
"$\geq 1$ track with $\Delta R (\text{track}, \text{jet}) > 0.5$",1.18,0.07,-0.07
"$\geq 1$ track with $\Delta R (\text{track}, \text{electron}) > 0.15$",1.16,0.07,-0.07
"$\geq 1$ track with $\Delta R (\text{track}, \text{muon}) > 0.15$",1.16,0.07,-0.07
"$\geq 1$ track with $\Delta R (\text{track}, \tau_{\text{h}}) > 0.15$",1.16,0.07,-0.07
"$\geq 1$ track with $E_{\text{calo}} < 10\,\text{GeV}{}$",1.14,0.07,-0.07
$\geq 1$ track with $\geq 3$ missing outer hits,1.13,0.07,-0.07
$\phi(p_{\text{T}}^{\text{miss}}) < -1.6$ or $\phi(p_{\text{T}}^{\text{miss}}) > -0.6$,0.96,0.07,-0.07
$\geq 1$ track with number of tracker layers with measurement == $4$,0.56,0.05,-0.05
$\geq 1$ track with number of tracker layers with measurement == $5$,0.22,0.03,-0.03
$\geq 1$ track with number of tracker layers with measurement \geq 6$,0.19,0.03,-0.03

Requirement,"Number of passing events for $\tau = 3.3\,\text{ns}{}$",1 s.d. +,1 s.d. -
total,221.3,1.0,-1.0
trigger,34.3,0.4,-0.4
passes $p_{\text{T}}^{\text{miss}}$ filters,34.3,0.4,-0.4
"$p_{\text{T}}^{\text{miss}} > 120\,\text{GeV}{}$",33.6,0.4,-0.4
"$\geq 1$ jet with $p_{\text{T}} > 110\,\text{GeV}{}$ and $|\eta| < 2.4$",30.1,0.4,-0.4
"==0 pairs of jets with $\Delta\phi_{\text{jet, jet}} > 2.5$",25.7,0.3,-0.3
"$|\Delta\phi(\mbox{leading jet}, \vec{p}_{\text{T}}^{\text{miss}})| > 0.5$",25.7,0.3,-0.3
