#                prod                mhscp              mrec200 
                 1432                  250                  0.0 
                  607                  150                  0.0 
                 2629                  150                  0.0 
                  455                  450       0.449886251733 
                 4285                  450       0.076124029902 
                  503                  150                  0.0 
                 2046                  350       0.188596867257 
                 1217                  500        0.50621685226 
                  274                  250                  0.0 
                 3003                  250                  0.0 
                  637                  500       0.459393641699 
                  494                  200                  0.0 
                 1765                  300                  0.0 
                  852                  200                  0.0 
                  418                  150                  0.0 
                  886                  150                  0.0 
                  449                  400       0.437686054929 
                 5100                  450      0.0506412117415 
                 3577                  400      0.0843288413138 
                 4366                  100                  0.0 
                  880                  400       0.491515297085 
                 3595                  450       0.107743164848 
                 3027                  300                  0.0 
                  205                  200                  0.0 
                  588                  500       0.450161469116 
                 5100                  200                  0.0 
                  324                  300                  0.0 
                 3013                  450       0.149942792791 
                 1033                  400       0.477525158879 
                 2116                  450       0.282059839566 
                 1490                  200                  0.0 
                  346                  100                  0.0 
                  218                  150                  0.0 
                  195                  100                  0.0 
                 4287                  250                  0.0 
                 4252                  500      0.0896287358192 
                  420                  250                  0.0 
                 1472                  300                  0.0 
                 2989                  400       0.120715701698 
                 1438                  500        0.47019028898 
                 1791                  200                  0.0 
                  660                  400       0.480640057161 
                  590                  200                  0.0 
                 5100                  300                  0.0 
                  505                  500       0.461811528645 
                 1069                  150                  0.0 
                  708                  200                  0.0 
                  164                  100                  0.0 
                  984                  250                  0.0 
                 1546                  150                  0.0 
                  899                  500       0.510741571557 
                  623                  300                  0.0 
                 1700                  350       0.256791281078 
                 5100                  400      0.0439095672025 
                 3541                  500       0.129068544776 
                 3062                  200                  0.0 
                  627                  100                  0.0 
                 3725                  100                  0.0 
                  235                  100                  0.0 
                 4266                  350      0.0464518704125 
                 2947                  500       0.192853998914 
                  417                  300                  0.0 
                  684                  250                  0.0 
                  477                  350       0.431398692654 
                  377                  300                  0.0 
                  309                  200                  0.0 
                 1112                  100                  0.0 
                 1728                  250                  0.0 
                 4316                  200                  0.0 
                  575                  250                  0.0 
                  432                  350       0.423342461394 
                  575                  450       0.455172843052 
                 2464                  350       0.128633915937 
                  482                  400       0.437379141024 
                 1777                  450       0.361220938006 
                 1496                  450       0.427927177011 
                  399                  350       0.415913605455 
                 4276                  400      0.0594050358063 
                  612                  350       0.468607886858 
                 1237                  200                  0.0 
                 2081                  400       0.236889018439 
                  305                  300                  0.0 
                  357                  200                  0.0 
                 2115                  300                  0.0 
                  761                  100                  0.0 
                  192                  150                  0.0 
                  552                  500       0.447682990761 
                  788                  500       0.497980615374 
                  251                  150                  0.0 
                 5100                  150                  0.0 
                  531                  450       0.448548962906 
                  105                  100                  0.0 
                 1909                  100                  0.0 
                 2268                  100                  0.0 
                 1187                  250                  0.0 
                 4342                  150                  0.0 
                  355                  350        0.41713821865 
                  702                  500       0.479029355085 
                  922                  100                  0.0 
                 1711                  500       0.419421544303 
                 2210                  150                  0.0 
                  244                  200                  0.0 
                  988                  350       0.439686666844 
                  422                  100                  0.0 
                  327                  250                  0.0 
                 1600                  100                  0.0 
                  734                  150                  0.0 
                 3611                  300                  0.0 
                  818                  250                  0.0 
                 5100                  500      0.0609348198974 
                 5100                  100                  0.0 
                  633                  450       0.470687294021 
                  173                  150                  0.0 
                 5100                  250                  0.0 
                 1336                  100                  0.0 
                  346                  300                  0.0 
                 3169                  100                  0.0 
                  499                  450       0.447789947845 
                  757                  400       0.494382467541 
                  926                  450       0.508239374786 
                  417                  200                  0.0 
                  475                  450        0.44865126698 
                 2525                  450        0.20972955538 
                  731                  300                  0.0 
                  710                  350       0.477247190657 
                  223                  200                  0.0 
                  537                  300                  0.0 
                  272                  200                  0.0 
                 2568                  200                  0.0 
                 2494                  400       0.167888337917 
                  284                  100                  0.0 
                 3593                  250                  0.0 
                 1027                  200                  0.0 
                 5100                  350      0.0329317665514 
                 2532                  300                  0.0 
                 3559                  350       0.065640214694 
                 3641                  200                  0.0 
                 2453                  500        0.26463664706 
                 1222                  400        0.43320512756 
                 2045                  500       0.348901101891 
                 2147                  200                  0.0 
                  350                  150                  0.0 
                  526                  400       0.444476906877 
                 2686                  100                  0.0 
                  526                  500       0.460949736394 
                 4297                  300                  0.0 
                  297                  250                  0.0 
                  122                  100                  0.0 
                  864                  300                  0.0 
                  155                  150                  0.0 
                 3685                  150                  0.0 
                 1078                  450        0.50128101891 
                  255                  250                  0.0 
                 1179                  350       0.395349203177 
                  709                  450       0.492341902216 
                 1229                  300                  0.0 
                  405                  400       0.438847765471 
                  295                  150                  0.0 
                  536                  350       0.446118554818 
                  469                  300                  0.0 
                  805                  450       0.507151286456 
                 2964                  350      0.0958534332132 
                  833                  350       0.473282129574 
                  425                  400       0.431389714201 
                 2503                  250                  0.0 
                 1287                  150                  0.0 
                  584                  400        0.46380960149 
                  367                  250                  0.0 
                 3117                  150                  0.0 
                  515                  100                  0.0 
                 1455                  400       0.383996701799 
                 1851                  150                  0.0 
                 1266                  450       0.475438255151 
                  140                  100                  0.0 
                 1414                  350       0.330465505175 
                 1040                  500       0.519941783299 
                 1029                  300                  0.0 
                 1738                  400       0.313452434905 
                  488                  250                  0.0 
                 2081                  250                  0.0 
                  375                  350       0.414022361702 
