#                prod                 mint                mhscp              mrec100 
                 1731                  255                  250     0.00400914513503 
                  970                  965                  150                  0.0 
                 1147                  216                  150                  0.0 
                 2972                  105                  100                  0.0 
                  598                  593                  100                  0.0 
                 4475                  105                  100                  0.0 
                 1404                  383                  100                  0.0 
                 3285                 2208                  300      0.0017326542298 
                 2167                 2162                  150                  0.0 
                 5100                 5095                  200    0.000519044694132 
                  471                  309                  200       0.210203970079 
                  404                  399                  150                  0.0 
                  356                  351                  300       0.243053250986 
                 1147                  155                  150                  0.0 
                  636                  255                  250       0.188530495727 
                  684                  455                  300       0.255417074094 
                 1769                  409                  300      0.0484010941333 
                 3798                  255                  250    1.87574973182e-12 
                  888                  883                  250       0.123965781804 
                  463                  295                  250       0.233326551749 
                 1644                  166                  100                  0.0 
                 2071                 1502                  300      0.0268482564441 
                  933                  403                  300       0.213273428101 
                 3813                 3808                  300     0.00196827047331 
                 4475                  685                  100                  0.0 
                  716                  711                  100                  0.0 
                 3264                 1394                  250      0.0294966030855 
                 4416                 1160                  300      0.0578308900876 
                  688                  471                  150                  0.0 
                 1099                  626                  200       0.108889516928 
                 1298                 1293                  200      0.0154547207346 
                  933                  532                  300       0.238152952452 
                 1285                  894                  300       0.153032772673 
                  636                  503                  250       0.235115345745 
                 3798                 1542                  250      0.0220716099777 
                 3880                  775                  150                  0.0 
                 1404                 1399                  100                  0.0 
                 1588                  228                  150                  0.0 
                  933                  305                  300       0.144822519407 
                 5100                 1140                  250      0.0402648628189 
                 3416                 1069                  100                  0.0 
                 2823                  927                  300      0.0833489681116 
                 1050                  516                  250       0.179059703566 
                 2103                 1424                  200     0.00387494013604 
                 1195                  794                  100                  0.0 
                  306                  255                  250       0.210193631169 
                 4475                  196                  100                  0.0 
                  284                  279                  150                  0.0 
                 3841                  334                  200    0.000156359995741 
                 1529                  205                  200     0.00251239133812 
                  497                  492                  100                  0.0 
                 1468                  341                  250      0.0495276696941 
                 2226                  483                  100                  0.0 
                 3880                 1325                  150                  0.0 
                  404                  249                  150                  0.0 
                  577                  572                  150                  0.0 
                 2456                  469                  200       0.031214505782 
                 4475                 4470                  100                  0.0 
                 2972                  183                  100                  0.0 
                  356                  327                  300       0.236846074231 
                 4432                  342                  200    3.11857441705e-05 
                 5100                 1746                  200     0.00558635971965 
                 1352                  655                  150                  0.0 
                 1468                  457                  250       0.107440613599 
                  557                  205                  200       0.157766550587 
                  818                  235                  150                  0.0 
                 1243                  332                  250      0.0771884713877 
                 2103                  966                  200      0.0400603003693 
                 3285                  673                  300      0.0430784200363 
                  853                  599                  100                  0.0 
                  661                  367                  200       0.188244178079 
                 5100                  205                  200                  0.0 
                  888                  475                  250       0.202113443155 
                 4454                 4449                  150                  0.0 
                 3813                 2500                  300    0.000501339199454 
                 3264                 2131                  250    0.000441062373636 
                 5100                  105                  100                  0.0 
                  636                  320                  250       0.218915462776 
                  716                  376                  100                  0.0 
                 3285                 3280                  300     0.00340074815768 
                  240                  191                  150                  0.0 
                 1243                  731                  250       0.136681398767 
                 2226                 2221                  100                  0.0 
                 3319                 1311                  200      0.0179023698586 
                 1796                  606                  200      0.0769704878432 
                 1195                  236                  100                  0.0 
                 3813                  305                  300    0.000108194573554 
                  541                  255                  250       0.220595050655 
                 2226                 1336                  100                  0.0 
                 1099                  271                  200      0.0594959059638 
                 5100                 3093                  250    9.77117800311e-05 
                 3880                  265                  150                  0.0 
                  483                  205                  150                  0.0 
                 2797                  844                  250      0.0668959826667 
                 2917                  412                  150                  0.0 
                 2390                  370                  250     0.00555066077004 
                 2823                  305                  300    3.16548130608e-05 
                 1195                  157                  100                  0.0 
                  541                  445                  250       0.243458836435 
                 2797                  566                  250      0.0415871240674 
                  577                  215                  150                  0.0 
                 3369                  722                  150                  0.0 
                 1644                  105                  100                  0.0 
                 2797                 2792                  250     0.00241305100891 
                  797                  624                  300       0.250871274726 
                 1404                  249                  100                  0.0 
                  589                  305                  300       0.247261672597 
                 1468                  255                  250      0.0137692520914 
                  929                  634                  200       0.117820613494 
                 2456                  205                  200    6.76692940556e-05 
                 1195                  530                  100                  0.0 
                 1012                  153                  100                  0.0 
                  397                  392                  300       0.256174018095 
                 3916                 1171                  100                  0.0 
                 1468                  817                  250       0.109613110287 
                 2917                  672                  150                  0.0 
                 2226                  105                  100                  0.0 
                 3416                  105                  100                  0.0 
                 1769                  983                  300       0.118189771756 
                  716                  273                  100                  0.0 
                 2859                 2854                  200     0.00110985431399 
                 1917                  276                  100                  0.0 
                  463                  396                  250       0.241404639745 
                 2972                 1700                  100                  0.0 
                 2576                 2571                  100                  0.0 
                  315                  307                  300       0.231006348643 
