# Chargino_width_GeV,Chargino_mass_GeV,Atimesepsilon_n_textlay_geq_6,1_sd_,1_sd__1
9.86614e-14,1.00000e+02,2.81760e-18,1.40880e-18,-1.40880e-18
6.57740e-14,1.00000e+02,6.66300e-13,3.33150e-13,-3.33150e-13
4.93292e-14,1.00000e+02,2.73380e-10,1.36690e-10,-1.36690e-10
3.94652e-14,1.00000e+02,9.13580e-09,4.56790e-09,-4.56790e-09
3.28870e-14,1.00000e+02,8.86300e-08,4.43150e-08,-4.43150e-08
2.81896e-14,1.00000e+02,4.28240e-07,2.14120e-07,-2.14120e-07
2.46655e-14,1.00000e+02,1.34646e-06,6.73230e-07,-6.73230e-07
2.19247e-14,1.00000e+02,3.19200e-06,1.59590e-06,-1.59590e-06
1.97326e-14,1.00000e+02,6.22800e-06,3.11340e-06,-3.11340e-06
9.86614e-15,1.00000e+02,8.46480e-05,4.06500e-05,-4.06500e-05
6.57740e-15,1.00000e+02,1.77556e-04,6.80690e-05,-6.80690e-05
4.93292e-15,1.00000e+02,2.91540e-04,7.76950e-05,-7.76950e-05
3.94652e-15,1.00000e+02,4.37820e-04,8.36610e-05,-8.36610e-05
3.28870e-15,1.00000e+02,6.07880e-04,9.22190e-05,-9.22190e-05
2.81896e-15,1.00000e+02,7.89020e-04,1.04000e-04,-1.04000e-04
2.46655e-15,1.00000e+02,9.70580e-04,1.18120e-04,-1.18120e-04
2.19247e-15,1.00000e+02,1.14510e-03,1.33820e-04,-1.33820e-04
1.97326e-15,1.00000e+02,1.30782e-03,1.50780e-04,-1.50780e-04
9.86614e-16,1.00000e+02,2.66740e-03,4.29890e-04,-4.29890e-04
6.57740e-16,1.00000e+02,2.97480e-03,4.10890e-04,-4.10890e-04
4.93292e-16,1.00000e+02,2.84740e-03,3.54480e-04,-3.54480e-04
3.94652e-16,1.00000e+02,2.62320e-03,3.02350e-04,-3.02350e-04
3.28870e-16,1.00000e+02,2.39420e-03,2.60640e-04,-2.60640e-04
2.81896e-16,1.00000e+02,2.18400e-03,2.28180e-04,-2.28180e-04
2.46655e-16,1.00000e+02,1.99688e-03,2.02830e-04,-2.02830e-04
2.19247e-16,1.00000e+02,1.83138e-03,1.82720e-04,-1.82720e-04
1.97326e-16,1.00000e+02,1.68488e-03,1.66450e-04,-1.66450e-04
9.86614e-17,1.00000e+02,4.18280e-04,1.42680e-04,-1.42680e-04
6.57740e-17,1.00000e+02,4.26820e-04,1.32520e-04,-1.32520e-04
4.93292e-17,1.00000e+02,3.83560e-04,1.15010e-04,-1.15010e-04
3.94652e-17,1.00000e+02,3.34080e-04,9.91870e-05,-9.91870e-05
3.28870e-17,1.00000e+02,2.90020e-04,8.57040e-05,-8.57040e-05
2.81896e-17,1.00000e+02,2.53220e-04,7.44170e-05,-7.44170e-05
2.46655e-17,1.00000e+02,2.22920e-04,6.50460e-05,-6.50460e-05
2.19247e-17,1.00000e+02,1.97878e-04,5.72800e-05,-5.72800e-05
1.97326e-17,1.00000e+02,1.77002e-04,5.08270e-05,-5.08270e-05
9.86614e-18,1.00000e+02,2.36900e-04,9.63420e-05,-9.63420e-05
6.57740e-18,1.00000e+02,1.56220e-04,5.83810e-05,-5.83810e-05
4.93292e-18,1.00000e+02,1.10070e-04,3.96280e-05,-3.96280e-05
3.94652e-18,1.00000e+02,8.15760e-05,2.88270e-05,-2.88270e-05
3.28870e-18,1.00000e+02,6.28400e-05,2.19640e-05,-2.19640e-05
2.81896e-18,1.00000e+02,4.98880e-05,1.73100e-05,-1.73100e-05
2.46655e-18,1.00000e+02,4.05680e-05,1.39990e-05,-1.39990e-05
2.19247e-18,1.00000e+02,3.36400e-05,1.15580e-05,-1.15580e-05
1.97326e-18,1.00000e+02,2.83500e-05,9.70600e-06,-9.70600e-06
9.86614e-14,2.00000e+02,9.49740e-34,4.74870e-34,-4.74870e-34
6.57740e-14,2.00000e+02,2.11120e-23,1.05560e-23,-1.05560e-23
4.93292e-14,2.00000e+02,2.65580e-18,1.32790e-18,-1.32790e-18
3.94652e-14,2.00000e+02,2.75500e-15,1.37750e-15,-1.37750e-15
3.28870e-14,2.00000e+02,2.64040e-13,1.31990e-13,-1.31990e-13
2.81896e-14,2.00000e+02,6.55560e-12,3.27410e-12,-3.27410e-12
2.46655e-14,2.00000e+02,7.04880e-11,3.51100e-11,-3.51100e-11
2.19247e-14,2.00000e+02,4.36520e-10,2.16140e-10,-2.16140e-10
1.97326e-14,2.00000e+02,1.84766e-09,9.04810e-10,-9.04810e-10
9.86614e-15,2.00000e+02,1.46466e-06,4.16080e-07,-4.16080e-07
6.57740e-15,2.00000e+02,2.33820e-05,4.10370e-06,-4.10370e-06
4.93292e-15,2.00000e+02,1.07712e-04,1.52920e-05,-1.52920e-05
3.94652e-15,2.00000e+02,2.76640e-04,3.42170e-05,-3.42170e-05
3.28870e-15,2.00000e+02,5.22500e-04,5.86140e-05,-5.86140e-05
2.81896e-15,2.00000e+02,8.24980e-04,8.65400e-05,-8.65400e-05
2.46655e-15,2.00000e+02,1.16324e-03,1.16970e-04,-1.16970e-04
2.19247e-15,2.00000e+02,1.51990e-03,1.49690e-04,-1.49690e-04
1.97326e-15,2.00000e+02,1.88146e-03,1.85120e-04,-1.85120e-04
9.86614e-16,2.00000e+02,3.72320e-03,4.99000e-04,-4.99000e-04
6.57740e-16,2.00000e+02,4.85440e-03,4.94830e-04,-4.94830e-04
4.93292e-16,2.00000e+02,5.25140e-03,4.48950e-04,-4.48950e-04
3.94652e-16,2.00000e+02,5.29000e-03,4.04350e-04,-4.04350e-04
3.28870e-16,2.00000e+02,5.15440e-03,3.66700e-04,-3.66700e-04
2.81896e-16,2.00000e+02,4.94080e-03,3.35380e-04,-3.35380e-04
2.46655e-16,2.00000e+02,4.69920e-03,3.09250e-04,-3.09250e-04
2.19247e-16,2.00000e+02,4.45520e-03,2.87570e-04,-2.87570e-04
1.97326e-16,2.00000e+02,4.22040e-03,2.69880e-04,-2.69880e-04
9.86614e-17,2.00000e+02,3.23900e-03,7.34260e-04,-7.34260e-04
6.57740e-17,2.00000e+02,2.39080e-03,4.50550e-04,-4.50550e-04
4.93292e-17,2.00000e+02,1.98034e-03,3.16460e-04,-3.16460e-04
3.94652e-17,2.00000e+02,1.73502e-03,2.46610e-04,-2.46610e-04
3.28870e-17,2.00000e+02,1.55722e-03,2.06340e-04,-2.06340e-04
2.81896e-17,2.00000e+02,1.41280e-03,1.80320e-04,-1.80320e-04
2.46655e-17,2.00000e+02,1.28902e-03,1.61640e-04,-1.61640e-04
2.19247e-17,2.00000e+02,1.18036e-03,1.47100e-04,-1.47100e-04
1.97326e-17,2.00000e+02,1.08396e-03,1.35130e-04,-1.35130e-04
9.86614e-18,2.00000e+02,9.73920e-05,2.78970e-05,-2.78970e-05
6.57740e-18,2.00000e+02,1.13758e-04,3.20840e-05,-3.20840e-05
4.93292e-18,2.00000e+02,1.11232e-04,3.01830e-05,-3.01830e-05
3.94652e-18,2.00000e+02,1.03658e-04,2.69570e-05,-2.69570e-05
3.28870e-18,2.00000e+02,9.50220e-05,2.38990e-05,-2.38990e-05
2.81896e-18,2.00000e+02,8.65500e-05,2.12880e-05,-2.12880e-05
2.46655e-18,2.00000e+02,7.86660e-05,1.90940e-05,-1.90940e-05
2.19247e-18,2.00000e+02,7.15000e-05,1.72340e-05,-1.72340e-05
1.97326e-18,2.00000e+02,6.50700e-05,1.56390e-05,-1.56390e-05
9.86614e-14,3.00000e+02,1.84562e-45,6.54550e-46,-6.54550e-46
6.57740e-14,3.00000e+02,9.10400e-31,3.21910e-31,-3.21910e-31
4.93292e-14,3.00000e+02,1.70926e-23,6.04030e-24,-6.04030e-24
3.94652e-14,3.00000e+02,3.58120e-19,1.26340e-19,-1.26340e-19
3.28870e-14,3.00000e+02,2.55440e-16,8.97210e-17,-8.97210e-17
2.81896e-14,3.00000e+02,2.67180e-14,9.30920e-15,-9.30920e-15
2.46655e-14,3.00000e+02,8.48600e-13,2.92080e-13,-2.92080e-13
2.19247e-14,3.00000e+02,1.22430e-11,4.14560e-12,-4.14560e-12
1.97326e-14,3.00000e+02,1.02062e-10,3.38720e-11,-3.38720e-11
9.86614e-15,3.00000e+02,1.17790e-06,2.91280e-07,-2.91280e-07
6.57740e-15,3.00000e+02,2.48400e-05,4.62920e-06,-4.62920e-06
4.93292e-15,3.00000e+02,1.14214e-04,1.69380e-05,-1.69380e-05
3.94652e-15,3.00000e+02,2.87020e-04,3.59100e-05,-3.59100e-05
3.28870e-15,3.00000e+02,5.29360e-04,5.92840e-05,-5.92840e-05
2.81896e-15,3.00000e+02,8.12740e-04,8.54430e-05,-8.54430e-05
2.46655e-15,3.00000e+02,1.10830e-03,1.12920e-04,-1.12920e-04
2.19247e-15,3.00000e+02,1.39378e-03,1.40320e-04,-1.40320e-04
1.97326e-15,3.00000e+02,1.65480e-03,1.66470e-04,-1.66470e-04
9.86614e-16,3.00000e+02,3.80120e-03,4.76890e-04,-4.76890e-04
6.57740e-16,3.00000e+02,5.14500e-03,4.57480e-04,-4.57480e-04
4.93292e-16,3.00000e+02,6.10800e-03,4.30860e-04,-4.30860e-04
3.94652e-16,3.00000e+02,6.74760e-03,4.09230e-04,-4.09230e-04
3.28870e-16,3.00000e+02,7.13120e-03,3.92870e-04,-3.92870e-04
2.81896e-16,3.00000e+02,7.33360e-03,3.80110e-04,-3.80110e-04
2.46655e-16,3.00000e+02,7.41900e-03,3.70010e-04,-3.70010e-04
2.19247e-16,3.00000e+02,7.43480e-03,3.62790e-04,-3.62790e-04
1.97326e-16,3.00000e+02,7.41320e-03,3.59520e-04,-3.59520e-04
9.86614e-17,3.00000e+02,5.45760e-03,9.93420e-04,-9.93420e-04
6.57740e-17,3.00000e+02,4.22160e-03,6.42760e-04,-6.42760e-04
4.93292e-17,3.00000e+02,3.38180e-03,4.58830e-04,-4.58830e-04
3.94652e-17,3.00000e+02,2.79880e-03,3.50350e-04,-3.50350e-04
3.28870e-17,3.00000e+02,2.37840e-03,2.80830e-04,-2.80830e-04
2.81896e-17,3.00000e+02,2.06680e-03,2.33440e-04,-2.33440e-04
2.46655e-17,3.00000e+02,1.83204e-03,1.99920e-04,-1.99920e-04
2.19247e-17,3.00000e+02,1.65276e-03,1.76180e-04,-1.76180e-04
1.97326e-17,3.00000e+02,1.51416e-03,1.60220e-04,-1.60220e-04
9.86614e-18,3.00000e+02,6.60920e-04,1.66460e-04,-1.66460e-04
6.57740e-18,3.00000e+02,4.77200e-04,1.01170e-04,-1.01170e-04
4.93292e-18,3.00000e+02,3.66760e-04,7.13090e-05,-7.13090e-05
3.94652e-18,3.00000e+02,2.94600e-04,5.40230e-05,-5.40230e-05
3.28870e-18,3.00000e+02,2.45080e-04,4.29420e-05,-4.29420e-05
2.81896e-18,3.00000e+02,2.10040e-04,3.54190e-05,-3.54190e-05
2.46655e-18,3.00000e+02,1.84832e-04,3.01600e-05,-3.01600e-05
2.19247e-18,3.00000e+02,1.66520e-04,2.65110e-05,-2.65110e-05
1.97326e-18,3.00000e+02,1.53086e-04,2.41420e-05,-2.41420e-05
9.86614e-14,4.00000e+02,6.74060e-38,3.37030e-38,-3.37030e-38
6.57740e-14,4.00000e+02,5.64380e-26,2.82190e-26,-2.82190e-26
4.93292e-14,4.00000e+02,4.35760e-20,2.17870e-20,-2.17870e-20
3.94652e-14,4.00000e+02,1.34332e-16,6.71250e-17,-6.71250e-17
3.28870e-14,4.00000e+02,2.66400e-14,1.32900e-14,-1.32900e-14
2.81896e-14,4.00000e+02,1.11374e-12,5.53640e-13,-5.53640e-13
2.46655e-14,4.00000e+02,1.77266e-11,8.75890e-12,-8.75890e-12
2.19247e-14,4.00000e+02,1.48972e-10,7.29670e-11,-7.29670e-11
1.97326e-14,4.00000e+02,8.03660e-10,3.89110e-10,-3.89110e-10
9.86614e-15,4.00000e+02,1.24354e-06,4.81230e-07,-4.81230e-07
6.57740e-15,4.00000e+02,1.42780e-05,3.96200e-06,-3.96200e-06
4.93292e-15,4.00000e+02,5.56340e-05,1.09650e-05,-1.09650e-05
3.94652e-15,4.00000e+02,1.39068e-04,2.18750e-05,-2.18750e-05
3.28870e-15,4.00000e+02,2.67740e-04,3.79240e-05,-3.79240e-05
2.81896e-15,4.00000e+02,4.34260e-04,5.89350e-05,-5.89350e-05
2.46655e-15,4.00000e+02,6.27500e-04,8.36940e-05,-8.36940e-05
2.19247e-15,4.00000e+02,8.39780e-04,1.11090e-04,-1.11090e-04
1.97326e-15,4.00000e+02,1.07162e-03,1.41230e-04,-1.41230e-04
9.86614e-16,4.00000e+02,5.08800e-03,4.39650e-04,-4.39650e-04
6.57740e-16,4.00000e+02,7.73480e-03,5.17870e-04,-5.17870e-04
4.93292e-16,4.00000e+02,9.23100e-03,5.25620e-04,-5.25620e-04
3.94652e-16,4.00000e+02,1.00240e-02,5.10420e-04,-5.10420e-04
3.28870e-16,4.00000e+02,1.03886e-02,4.89900e-04,-4.89900e-04
2.81896e-16,4.00000e+02,1.04848e-02,4.69830e-04,-4.69830e-04
2.46655e-16,4.00000e+02,1.04116e-02,4.51840e-04,-4.51840e-04
2.19247e-16,4.00000e+02,1.02334e-02,4.36180e-04,-4.36180e-04
1.97326e-16,4.00000e+02,9.99280e-03,4.22790e-04,-4.22790e-04
9.86614e-17,4.00000e+02,3.60960e-03,6.72990e-04,-6.72990e-04
6.57740e-17,4.00000e+02,3.26880e-03,4.81100e-04,-4.81100e-04
4.93292e-17,4.00000e+02,2.91460e-03,3.72730e-04,-3.72730e-04
3.94652e-17,4.00000e+02,2.61660e-03,3.04900e-04,-3.04900e-04
3.28870e-17,4.00000e+02,2.37680e-03,2.59120e-04,-2.59120e-04
2.81896e-17,4.00000e+02,2.18500e-03,2.26810e-04,-2.26810e-04
2.46655e-17,4.00000e+02,2.03040e-03,2.03600e-04,-2.03600e-04
2.19247e-17,4.00000e+02,1.90402e-03,1.87090e-04,-1.87090e-04
1.97326e-17,4.00000e+02,1.79836e-03,1.75830e-04,-1.75830e-04
9.86614e-18,4.00000e+02,1.68714e-03,2.99410e-04,-2.99410e-04
