# Chargino_width_GeV,Chargino_mass_GeV,Atimesepsilon_n_textlay__5,1_sd_,1_sd__1
9.86614e-14,1.00000e+02,1.90552e-18,8.56770e-25,-8.56770e-25
6.57740e-14,1.00000e+02,1.21532e-13,1.09340e-17,-1.09340e-17
4.93292e-14,1.00000e+02,2.90837e-11,3.60430e-14,-3.60430e-14
3.94652e-14,1.00000e+02,7.63065e-10,4.44250e-12,-4.44250e-12
3.28870e-14,1.00000e+02,6.71771e-09,1.06770e-10,-1.06770e-10
2.81896e-14,1.00000e+02,3.19075e-08,1.01290e-09,-1.01290e-09
2.46655e-14,1.00000e+02,1.03373e-07,5.38890e-09,-5.38890e-09
2.19247e-14,1.00000e+02,2.59835e-07,1.95360e-08,-1.95360e-08
1.97326e-14,1.00000e+02,5.46964e-07,5.42190e-08,-5.42190e-08
9.86614e-15,1.00000e+02,1.83843e-05,4.60320e-06,-4.60320e-06
6.57740e-15,1.00000e+02,6.67573e-05,1.91950e-05,-1.91950e-05
4.93292e-15,1.00000e+02,1.30070e-04,3.91500e-05,-3.91500e-05
3.94652e-15,1.00000e+02,1.92990e-04,5.95490e-05,-5.95490e-05
3.28870e-15,1.00000e+02,2.48069e-04,7.77560e-05,-7.77560e-05
2.81896e-15,1.00000e+02,2.93136e-04,9.28540e-05,-9.28540e-05
2.46655e-15,1.00000e+02,3.28517e-04,1.04820e-04,-1.04820e-04
2.19247e-15,1.00000e+02,3.55455e-04,1.14010e-04,-1.14010e-04
1.97326e-15,1.00000e+02,3.75403e-04,1.20870e-04,-1.20870e-04
9.86614e-16,1.00000e+02,3.46159e-04,1.07500e-04,-1.07500e-04
6.57740e-16,1.00000e+02,3.36054e-04,1.16020e-04,-1.16020e-04
4.93292e-16,1.00000e+02,3.08254e-04,1.13110e-04,-1.13110e-04
3.94652e-16,1.00000e+02,2.79533e-04,1.06620e-04,-1.06620e-04
3.28870e-16,1.00000e+02,2.53738e-04,9.93830e-05,-9.93830e-05
2.81896e-16,1.00000e+02,2.31411e-04,9.24030e-05,-9.24030e-05
2.46655e-16,1.00000e+02,2.12242e-04,8.59970e-05,-8.59970e-05
2.19247e-16,1.00000e+02,1.95757e-04,8.02300e-05,-8.02300e-05
1.97326e-16,1.00000e+02,1.81492e-04,7.50740e-05,-7.50740e-05
9.86614e-17,1.00000e+02,1.51746e-04,1.56890e-04,-1.56890e-04
6.57740e-17,1.00000e+02,1.04013e-04,1.07230e-04,-1.07230e-04
4.93292e-17,1.00000e+02,7.91012e-05,8.14350e-05,-8.14350e-05
3.94652e-17,1.00000e+02,6.38119e-05,6.56380e-05,-6.56380e-05
3.28870e-17,1.00000e+02,5.34735e-05,5.49730e-05,-5.49730e-05
2.81896e-17,1.00000e+02,4.60173e-05,4.72880e-05,-4.72880e-05
2.46655e-17,1.00000e+02,4.03850e-05,4.14880e-05,-4.14880e-05
2.19247e-17,1.00000e+02,3.59812e-05,3.69550e-05,-3.69550e-05
1.97326e-17,1.00000e+02,3.24433e-05,3.33150e-05,-3.33150e-05
9.86614e-18,1.00000e+02,1.75218e-05,4.44520e-06,-4.44520e-06
6.57740e-18,1.00000e+02,1.17082e-05,4.44520e-06,-4.44520e-06
4.93292e-18,1.00000e+02,8.79100e-06,4.44520e-06,-4.44520e-06
3.94652e-18,1.00000e+02,7.03776e-06,4.44520e-06,-4.44520e-06
3.28870e-18,1.00000e+02,5.86729e-06,4.44520e-06,-4.44520e-06
2.81896e-18,1.00000e+02,5.03079e-06,4.44520e-06,-4.44520e-06
2.46655e-18,1.00000e+02,4.40299e-06,4.44520e-06,-4.44520e-06
2.19247e-18,1.00000e+02,3.91454e-06,4.44520e-06,-4.44520e-06
1.97326e-18,1.00000e+02,3.52360e-06,4.44520e-06,-4.44520e-06
9.86614e-14,2.00000e+02,2.06387e-20,4.71440e-20,-4.71440e-20
6.57740e-14,2.00000e+02,7.69394e-15,1.56940e-14,-1.56940e-14
4.93292e-14,2.00000e+02,4.58252e-12,8.34240e-12,-8.34240e-12
3.94652e-14,2.00000e+02,2.09062e-10,3.43920e-10,-3.43920e-10
3.28870e-14,2.00000e+02,2.65048e-09,3.98480e-09,-3.98480e-09
2.81896e-14,2.00000e+02,1.62110e-08,2.24660e-08,-2.24660e-08
2.46655e-14,2.00000e+02,6.29728e-08,8.09810e-08,-8.09810e-08
2.19247e-14,2.00000e+02,1.80895e-07,2.17060e-07,-2.17060e-07
1.97326e-14,2.00000e+02,4.20806e-07,4.73490e-07,-4.73490e-07
9.86614e-15,2.00000e+02,1.89504e-05,1.36470e-05,-1.36470e-05
6.57740e-15,2.00000e+02,6.91998e-05,3.85580e-05,-3.85580e-05
4.93292e-15,2.00000e+02,1.37130e-04,6.38160e-05,-6.38160e-05
3.94652e-15,2.00000e+02,2.12446e-04,8.69820e-05,-8.69820e-05
3.28870e-15,2.00000e+02,2.88952e-04,1.08460e-04,-1.08460e-04
2.81896e-15,2.00000e+02,3.62844e-04,1.28560e-04,-1.28560e-04
2.46655e-15,2.00000e+02,4.32174e-04,1.47260e-04,-1.47260e-04
2.19247e-15,2.00000e+02,4.96316e-04,1.64540e-04,-1.64540e-04
1.97326e-15,2.00000e+02,5.55436e-04,1.80650e-04,-1.80650e-04
9.86614e-16,2.00000e+02,1.13277e-03,3.45020e-04,-3.45020e-04
6.57740e-16,2.00000e+02,1.19151e-03,3.31400e-04,-3.31400e-04
4.93292e-16,2.00000e+02,1.15452e-03,3.07720e-04,-3.07720e-04
3.94652e-16,2.00000e+02,1.09059e-03,2.84280e-04,-2.84280e-04
