# Chargino_width_GeV,Chargino_mass_GeV,Atimesepsilon_n_textlay_geq_6,1_sd_,1_sd__1
9.86614e-14,1.00000e+02,1.09088e-22,5.45440e-23,-5.45440e-23
6.57740e-14,1.00000e+02,8.89160e-16,4.44580e-16,-4.44580e-16
4.93292e-14,1.00000e+02,2.14200e-12,1.07090e-12,-1.07090e-12
3.94652e-14,1.00000e+02,2.07060e-10,1.03500e-10,-1.03500e-10
3.28870e-14,1.00000e+02,4.08120e-09,2.03830e-09,-2.03830e-09
2.81896e-14,1.00000e+02,3.27700e-08,1.63310e-08,-1.63310e-08
2.46655e-14,1.00000e+02,1.51188e-07,7.50320e-08,-7.50320e-08
2.19247e-14,1.00000e+02,4.84600e-07,2.38920e-07,-2.38920e-07
1.97326e-14,1.00000e+02,1.20836e-06,5.90210e-07,-5.90210e-07
9.86614e-15,1.00000e+02,5.75920e-05,2.26650e-05,-2.26650e-05
6.57740e-15,1.00000e+02,1.98712e-04,5.72260e-05,-5.72260e-05
4.93292e-15,1.00000e+02,3.88620e-04,8.26780e-05,-8.26780e-05
3.94652e-15,1.00000e+02,6.03380e-04,1.00700e-04,-1.00700e-04
3.28870e-15,1.00000e+02,8.23280e-04,1.15640e-04,-1.15640e-04
2.81896e-15,1.00000e+02,1.03424e-03,1.29770e-04,-1.29770e-04
2.46655e-15,1.00000e+02,1.22976e-03,1.43770e-04,-1.43770e-04
2.19247e-15,1.00000e+02,1.40996e-03,1.57920e-04,-1.57920e-04
1.97326e-15,1.00000e+02,1.57896e-03,1.73320e-04,-1.73320e-04
9.86614e-16,1.00000e+02,1.60470e-03,2.63090e-04,-2.63090e-04
6.57740e-16,1.00000e+02,2.33320e-03,2.97370e-04,-2.97370e-04
4.93292e-16,1.00000e+02,2.66100e-03,2.91770e-04,-2.91770e-04
3.94652e-16,1.00000e+02,2.76200e-03,2.76990e-04,-2.76990e-04
3.28870e-16,1.00000e+02,2.75260e-03,2.60220e-04,-2.60220e-04
2.81896e-16,1.00000e+02,2.69460e-03,2.44300e-04,-2.44300e-04
2.46655e-16,1.00000e+02,2.61740e-03,2.30720e-04,-2.30720e-04
2.19247e-16,1.00000e+02,2.53360e-03,2.20040e-04,-2.20040e-04
1.97326e-16,1.00000e+02,2.44800e-03,2.12140e-04,-2.12140e-04
9.86614e-17,1.00000e+02,6.06220e-03,1.25200e-03,-1.25200e-03
6.57740e-17,1.00000e+02,3.87560e-03,7.39240e-04,-7.39240e-04
4.93292e-17,1.00000e+02,2.72160e-03,4.90040e-04,-4.90040e-04
3.94652e-17,1.00000e+02,2.05080e-03,3.51560e-04,-3.51560e-04
3.28870e-17,1.00000e+02,1.62504e-03,2.67390e-04,-2.67390e-04
2.81896e-17,1.00000e+02,1.33544e-03,2.12670e-04,-2.12670e-04
2.46655e-17,1.00000e+02,1.12756e-03,1.75160e-04,-1.75160e-04
2.19247e-17,1.00000e+02,9.71800e-04,1.48340e-04,-1.48340e-04
1.97326e-17,1.00000e+02,8.50960e-04,1.28510e-04,-1.28510e-04
9.86614e-18,1.00000e+02,7.38740e-05,2.62660e-05,-2.62660e-05
6.57740e-18,1.00000e+02,7.95900e-05,2.60460e-05,-2.60460e-05
4.93292e-18,1.00000e+02,7.47220e-05,2.27820e-05,-2.27820e-05
3.94652e-18,1.00000e+02,6.79600e-05,1.95720e-05,-1.95720e-05
3.28870e-18,1.00000e+02,6.12940e-05,1.69310e-05,-1.69310e-05
2.81896e-18,1.00000e+02,5.51960e-05,1.48140e-05,-1.48140e-05
2.46655e-18,1.00000e+02,4.97540e-05,1.31020e-05,-1.31020e-05
2.19247e-18,1.00000e+02,4.49440e-05,1.16930e-05,-1.16930e-05
1.97326e-18,1.00000e+02,4.07100e-05,1.05120e-05,-1.05120e-05
9.86614e-14,2.00000e+02,9.61180e-40,4.80590e-40,-4.80590e-40
6.57740e-14,2.00000e+02,3.50820e-27,1.75410e-27,-1.75410e-27
4.93292e-14,2.00000e+02,5.65500e-21,2.82740e-21,-2.82740e-21
3.94652e-14,2.00000e+02,2.71040e-17,1.35490e-17,-1.35490e-17
3.28870e-14,2.00000e+02,7.21140e-15,3.60110e-15,-3.60110e-15
2.81896e-14,2.00000e+02,3.71900e-13,1.85120e-13,-1.85120e-13
2.46655e-14,2.00000e+02,6.93800e-12,3.42910e-12,-3.42910e-12
2.19247e-14,2.00000e+02,6.61840e-11,3.22940e-11,-3.22940e-11
1.97326e-14,2.00000e+02,3.97260e-10,1.89970e-10,-1.89970e-10
9.86614e-15,2.00000e+02,1.34732e-06,3.81970e-07,-3.81970e-07
6.57740e-15,2.00000e+02,2.44640e-05,4.49740e-06,-4.49740e-06
4.93292e-15,2.00000e+02,1.11420e-04,1.62200e-05,-1.62200e-05
3.94652e-15,2.00000e+02,2.84940e-04,3.55370e-05,-3.55370e-05
3.28870e-15,2.00000e+02,5.40180e-04,6.06700e-05,-6.06700e-05
2.81896e-15,2.00000e+02,8.58560e-04,9.00770e-05,-9.00770e-05
2.46655e-15,2.00000e+02,1.22064e-03,1.22710e-04,-1.22710e-04
2.19247e-15,2.00000e+02,1.61164e-03,1.58280e-04,-1.58280e-04
1.97326e-15,2.00000e+02,2.02160e-03,1.97640e-04,-1.97640e-04
9.86614e-16,2.00000e+02,4.91140e-03,5.27380e-04,-5.27380e-04
6.57740e-16,2.00000e+02,6.80840e-03,5.54450e-04,-5.54450e-04
4.93292e-16,2.00000e+02,7.70480e-03,5.30640e-04,-5.30640e-04
