# Chargino_width_GeV,Chargino_mass_GeV,Atimesepsilon_n_textlay__4,1_sd_,1_sd__1
9.86614e-14,1.00000e+02,1.23510e-14,1.14360e-14,-1.14360e-14
6.57740e-14,1.00000e+02,5.64910e-11,4.64070e-11,-4.64070e-11
4.93292e-14,1.00000e+02,3.85640e-09,2.77390e-09,-2.77390e-09
3.94652e-14,1.00000e+02,4.98340e-08,3.14020e-08,-3.14020e-08
3.28870e-14,1.00000e+02,2.80940e-07,1.56510e-07,-1.56510e-07
2.81896e-14,1.00000e+02,9.83290e-07,4.91210e-07,-4.91210e-07
2.46655e-14,1.00000e+02,2.54570e-06,1.15820e-06,-1.15820e-06
2.19247e-14,1.00000e+02,5.37500e-06,2.25970e-06,-2.25970e-06
1.97326e-14,1.00000e+02,9.81790e-06,3.86260e-06,-3.86260e-06
9.86614e-15,1.00000e+02,1.51760e-04,4.30340e-05,-4.30340e-05
6.57740e-15,1.00000e+02,3.69130e-04,9.16490e-05,-9.16490e-05
4.93292e-15,1.00000e+02,5.58660e-04,1.28760e-04,-1.28760e-04
3.94652e-15,1.00000e+02,6.98810e-04,1.53980e-04,-1.53980e-04
3.28870e-15,1.00000e+02,7.95350e-04,1.70370e-04,-1.70370e-04
2.81896e-15,1.00000e+02,8.58620e-04,1.80590e-04,-1.80590e-04
2.46655e-15,1.00000e+02,8.97680e-04,1.86540e-04,-1.86540e-04
2.19247e-15,1.00000e+02,9.19420e-04,1.89520e-04,-1.89520e-04
1.97326e-15,1.00000e+02,9.28880e-04,1.90430e-04,-1.90430e-04
9.86614e-16,1.00000e+02,1.00320e-03,3.53920e-04,-3.53920e-04
6.57740e-16,1.00000e+02,8.11760e-04,2.73650e-04,-2.73650e-04
4.93292e-16,1.00000e+02,6.76490e-04,2.23360e-04,-2.23360e-04
3.94652e-16,1.00000e+02,5.78370e-04,1.88880e-04,-1.88880e-04
3.28870e-16,1.00000e+02,5.04530e-04,1.63720e-04,-1.63720e-04
2.81896e-16,1.00000e+02,4.47150e-04,1.44530e-04,-1.44530e-04
2.46655e-16,1.00000e+02,4.01360e-04,1.29390e-04,-1.29390e-04
2.19247e-16,1.00000e+02,3.64000e-04,1.17140e-04,-1.17140e-04
1.97326e-16,1.00000e+02,3.32970e-04,1.07010e-04,-1.07010e-04
9.86614e-17,1.00000e+02,1.57090e-04,1.57090e-04,-1.57090e-04
6.57740e-17,1.00000e+02,1.06370e-04,1.06370e-04,-1.06370e-04
4.93292e-17,1.00000e+02,8.03970e-05,8.03970e-05,-8.03970e-05
3.94652e-17,1.00000e+02,6.46180e-05,6.46180e-05,-6.46180e-05
3.28870e-17,1.00000e+02,5.40160e-05,5.40160e-05,-5.40160e-05
2.81896e-17,1.00000e+02,4.64020e-05,4.64020e-05,-4.64020e-05
2.46655e-17,1.00000e+02,4.06700e-05,4.06700e-05,-4.06700e-05
2.19247e-17,1.00000e+02,3.61980e-05,3.61980e-05,-3.61980e-05
1.97326e-17,1.00000e+02,3.26110e-05,3.26110e-05,-3.26110e-05
9.86614e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
6.57740e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
4.93292e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
3.94652e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
3.28870e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
2.81896e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
2.46655e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
2.19247e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
1.97326e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
9.86614e-14,2.00000e+02,7.01970e-09,7.01970e-09,-7.01970e-09
6.57740e-14,2.00000e+02,3.07640e-07,3.07640e-07,-3.07640e-07
4.93292e-14,2.00000e+02,1.87080e-06,1.87070e-06,-1.87070e-06
3.94652e-14,2.00000e+02,5.25640e-06,5.25350e-06,-5.25350e-06
3.28870e-14,2.00000e+02,1.01390e-05,1.01120e-05,-1.01120e-05
2.81896e-14,2.00000e+02,1.58950e-05,1.57610e-05,-1.57610e-05
2.46655e-14,2.00000e+02,2.20330e-05,2.15960e-05,-2.15960e-05
2.19247e-14,2.00000e+02,2.83030e-05,2.72120e-05,-2.72120e-05
1.97326e-14,2.00000e+02,3.46470e-05,3.23850e-05,-3.23850e-05
9.86614e-15,2.00000e+02,1.25260e-04,6.07560e-05,-6.07560e-05
6.57740e-15,2.00000e+02,3.04800e-04,8.05660e-05,-8.05660e-05
4.93292e-15,2.00000e+02,5.49020e-04,1.07580e-04,-1.07580e-04
3.94652e-15,2.00000e+02,8.11660e-04,1.37720e-04,-1.37720e-04
3.28870e-15,2.00000e+02,1.06230e-03,1.67080e-04,-1.67080e-04
2.81896e-15,2.00000e+02,1.28640e-03,1.93980e-04,-1.93980e-04
2.46655e-15,2.00000e+02,1.47890e-03,2.17840e-04,-2.17840e-04
2.19247e-15,2.00000e+02,1.63990e-03,2.38620e-04,-2.38620e-04
1.97326e-15,2.00000e+02,1.77210e-03,2.56470e-04,-2.56470e-04
9.86614e-16,2.00000e+02,2.80430e-03,5.32010e-04,-5.32010e-04
6.57740e-16,2.00000e+02,2.60060e-03,4.68270e-04,-4.68270e-04
4.93292e-16,2.00000e+02,2.33550e-03,4.11100e-04,-4.11100e-04
3.94652e-16,2.00000e+02,2.09420e-03,3.64370e-04,-3.64370e-04
3.28870e-16,2.00000e+02,1.88840e-03,3.26450e-04,-3.26450e-04
2.81896e-16,2.00000e+02,1.71500e-03,2.95350e-04,-2.95350e-04
2.46655e-16,2.00000e+02,1.56850e-03,2.69500e-04,-2.69500e-04
2.19247e-16,2.00000e+02,1.44380e-03,2.47720e-04,-2.47720e-04
1.97326e-16,2.00000e+02,1.33680e-03,2.29140e-04,-2.29140e-04
9.86614e-17,2.00000e+02,9.64120e-04,4.38410e-04,-4.38410e-04
6.57740e-17,2.00000e+02,6.71140e-04,3.04680e-04,-3.04680e-04
4.93292e-17,2.00000e+02,5.14400e-04,2.33350e-04,-2.33350e-04
3.94652e-17,2.00000e+02,4.16920e-04,1.89050e-04,-1.89050e-04
3.28870e-17,2.00000e+02,3.50470e-04,1.58870e-04,-1.58870e-04
2.81896e-17,2.00000e+02,3.02280e-04,1.37000e-04,-1.37000e-04
2.46655e-17,2.00000e+02,2.65740e-04,1.20420e-04,-1.20420e-04
2.19247e-17,2.00000e+02,2.37070e-04,1.07420e-04,-1.07420e-04
1.97326e-17,2.00000e+02,2.13990e-04,9.69490e-05,-9.69490e-05
9.86614e-18,2.00000e+02,2.22440e-05,2.22440e-05,-2.22440e-05
6.57740e-18,2.00000e+02,1.49660e-05,1.49660e-05,-1.49660e-05
4.93292e-18,2.00000e+02,1.12760e-05,1.12760e-05,-1.12760e-05
3.94652e-18,2.00000e+02,9.04600e-06,9.04600e-06,-9.04600e-06
3.28870e-18,2.00000e+02,7.55220e-06,7.55220e-06,-7.55220e-06
2.81896e-18,2.00000e+02,6.48180e-06,6.48180e-06,-6.48180e-06
2.46655e-18,2.00000e+02,5.67720e-06,5.67720e-06,-5.67720e-06
2.19247e-18,2.00000e+02,5.05020e-06,5.05020e-06,-5.05020e-06
1.97326e-18,2.00000e+02,4.54800e-06,4.54800e-06,-4.54800e-06
9.86614e-14,3.00000e+02,1.01310e-20,6.89560e-21,-6.89560e-21
6.57740e-14,3.00000e+02,7.48470e-15,3.91020e-15,-3.91020e-15
4.93292e-14,3.00000e+02,6.57050e-12,2.88280e-12,-2.88280e-12
3.94652e-14,3.00000e+02,3.83400e-10,1.50180e-10,-1.50180e-10
3.28870e-14,3.00000e+02,5.74690e-09,2.07880e-09,-2.07880e-09
2.81896e-14,3.00000e+02,3.96140e-08,1.34840e-08,-1.34840e-08
2.46655e-14,3.00000e+02,1.68150e-07,5.44560e-08,-5.44560e-08
2.19247e-14,3.00000e+02,5.17010e-07,1.60380e-07,-1.60380e-07
1.97326e-14,3.00000e+02,1.26940e-06,3.78820e-07,-3.78820e-07
9.86614e-15,3.00000e+02,7.56200e-05,1.65600e-05,-1.65600e-05
6.57740e-15,3.00000e+02,3.19460e-04,5.54400e-05,-5.54400e-05
4.93292e-15,3.00000e+02,6.77340e-04,1.01180e-04,-1.01180e-04
3.94652e-15,3.00000e+02,1.06860e-03,1.45930e-04,-1.45930e-04
3.28870e-15,3.00000e+02,1.44320e-03,1.86830e-04,-1.86830e-04
2.81896e-15,3.00000e+02,1.77900e-03,2.23000e-04,-2.23000e-04
2.46655e-15,3.00000e+02,2.06950e-03,2.54580e-04,-2.54580e-04
2.19247e-15,3.00000e+02,2.31570e-03,2.82150e-04,-2.82150e-04
1.97326e-15,3.00000e+02,2.52170e-03,3.06430e-04,-3.06430e-04
9.86614e-16,3.00000e+02,3.13750e-03,4.97470e-04,-4.97470e-04
6.57740e-16,3.00000e+02,3.16260e-03,4.72450e-04,-4.72450e-04
4.93292e-16,3.00000e+02,2.97070e-03,4.32110e-04,-4.32110e-04
3.94652e-16,3.00000e+02,2.74080e-03,3.93290e-04,-3.93290e-04
3.28870e-16,3.00000e+02,2.52120e-03,3.59080e-04,-3.59080e-04
