# Chargino_width_GeV,Chargino_mass_GeV,Atimesepsilon_n_textlay_geq_6,1_sd_,1_sd__1
9.86614e-14,1.00000e+02,1.70896e-21,6.91260e-23,-6.91260e-23
6.57740e-14,1.00000e+02,1.47138e-15,1.73820e-16,-1.73820e-16
4.93292e-14,1.00000e+02,1.32565e-12,2.60330e-13,-2.60330e-13
3.94652e-14,1.00000e+02,7.83735e-11,2.04870e-11,-2.04870e-11
3.28870e-14,1.00000e+02,1.19514e-09,3.72180e-10,-3.72180e-10
2.81896e-14,1.00000e+02,8.41869e-09,2.92970e-09,-2.92970e-09
2.46655e-14,1.00000e+02,3.66195e-08,1.36760e-08,-1.36760e-08
2.19247e-14,1.00000e+02,1.15526e-07,4.50640e-08,-4.50640e-08
1.97326e-14,1.00000e+02,2.91037e-07,1.16370e-07,-1.16370e-07
9.86614e-15,1.00000e+02,2.06383e-05,7.42950e-06,-7.42950e-06
6.57740e-15,1.00000e+02,9.15077e-05,2.75940e-05,-2.75940e-05
4.93292e-15,1.00000e+02,1.97520e-04,5.23170e-05,-5.23170e-05
3.94652e-15,1.00000e+02,3.17716e-04,7.69150e-05,-7.69150e-05
3.28870e-15,1.00000e+02,4.40180e-04,1.00320e-04,-1.00320e-04
2.81896e-15,1.00000e+02,5.59412e-04,1.22730e-04,-1.22730e-04
2.46655e-15,1.00000e+02,6.73232e-04,1.44850e-04,-1.44850e-04
2.19247e-15,1.00000e+02,7.80866e-04,1.67780e-04,-1.67780e-04
1.97326e-15,1.00000e+02,8.82102e-04,1.92830e-04,-1.92830e-04
9.86614e-16,1.00000e+02,9.12556e-04,2.62890e-04,-2.62890e-04
6.57740e-16,1.00000e+02,1.09563e-03,2.80690e-04,-2.80690e-04
4.93292e-16,1.00000e+02,1.13838e-03,2.76210e-04,-2.76210e-04
3.94652e-16,1.00000e+02,1.12169e-03,2.64400e-04,-2.64400e-04
3.28870e-16,1.00000e+02,1.08064e-03,2.50540e-04,-2.50540e-04
2.81896e-16,1.00000e+02,1.03081e-03,2.36600e-04,-2.36600e-04
2.46655e-16,1.00000e+02,9.79194e-04,2.23360e-04,-2.23360e-04
2.19247e-16,1.00000e+02,9.28951e-04,2.11070e-04,-2.11070e-04
1.97326e-16,1.00000e+02,8.81476e-04,1.99780e-04,-1.99780e-04
9.86614e-17,1.00000e+02,8.32767e-04,3.95010e-04,-3.95010e-04
6.57740e-17,1.00000e+02,6.02223e-04,2.86330e-04,-2.86330e-04
4.93292e-17,1.00000e+02,4.71153e-04,2.24480e-04,-2.24480e-04
3.94652e-17,1.00000e+02,3.86804e-04,1.84580e-04,-1.84580e-04
3.28870e-17,1.00000e+02,3.28017e-04,1.56720e-04,-1.56720e-04
2.81896e-17,1.00000e+02,2.84716e-04,1.36160e-04,-1.36160e-04
2.46655e-17,1.00000e+02,2.51510e-04,1.20370e-04,-1.20370e-04
2.19247e-17,1.00000e+02,2.25231e-04,1.07850e-04,-1.07850e-04
1.97326e-17,1.00000e+02,2.03921e-04,9.76990e-05,-9.76990e-05
9.86614e-18,1.00000e+02,1.02700e-04,6.30670e-05,-6.30670e-05
6.57740e-18,1.00000e+02,6.90044e-05,4.23760e-05,-4.23760e-05
4.93292e-18,1.00000e+02,5.19563e-05,3.19070e-05,-3.19070e-05
3.94652e-18,1.00000e+02,4.16629e-05,2.55860e-05,-2.55860e-05
3.28870e-18,1.00000e+02,3.47735e-05,2.13560e-05,-2.13560e-05
2.81896e-18,1.00000e+02,2.98392e-05,1.83250e-05,-1.83250e-05
