# Chargino_width_GeV,Chargino_mass_GeV,Atimesepsilon_n_textlay__5,1_sd_,1_sd__1
9.86614e-14,1.00000e+02,1.82802e-32,9.14000e-33,-9.14000e-33
6.57740e-14,1.00000e+02,2.99820e-22,1.49880e-22,-1.49880e-22
4.93292e-14,1.00000e+02,3.24360e-17,1.61950e-17,-1.61950e-17
3.94652e-14,1.00000e+02,3.08400e-14,1.53340e-14,-1.53340e-14
3.28870e-14,1.00000e+02,2.80400e-12,1.38270e-12,-1.38270e-12
2.81896e-14,1.00000e+02,6.74680e-11,3.28460e-11,-3.28460e-11
2.46655e-14,1.00000e+02,7.12440e-10,3.41100e-10,-3.41100e-10
2.19247e-14,1.00000e+02,4.36500e-09,2.04900e-09,-2.04900e-09
1.97326e-14,1.00000e+02,1.83242e-08,8.41530e-09,-8.41530e-09
9.86614e-15,1.00000e+02,9.07560e-06,3.24660e-06,-3.24660e-06
6.57740e-15,1.00000e+02,6.54040e-05,1.77750e-05,-1.77750e-05
4.93292e-15,1.00000e+02,1.78868e-04,3.78530e-05,-3.78530e-05
3.94652e-15,1.00000e+02,3.30540e-04,5.84090e-05,-5.84090e-05
3.28870e-15,1.00000e+02,4.96600e-04,7.80250e-05,-7.80250e-05
2.81896e-15,1.00000e+02,6.59100e-04,9.61680e-05,-9.61680e-05
2.46655e-15,1.00000e+02,8.07420e-04,1.12790e-04,-1.12790e-04
2.19247e-15,1.00000e+02,9.36340e-04,1.28130e-04,-1.28130e-04
1.97326e-15,1.00000e+02,1.04418e-03,1.42430e-04,-1.42430e-04
9.86614e-16,1.00000e+02,5.85080e-04,1.33990e-04,-1.33990e-04
6.57740e-16,1.00000e+02,6.83920e-04,1.44210e-04,-1.44210e-04
4.93292e-16,1.00000e+02,6.67200e-04,1.33960e-04,-1.33960e-04
3.94652e-16,1.00000e+02,6.17040e-04,1.19940e-04,-1.19940e-04
3.28870e-16,1.00000e+02,5.60040e-04,1.06780e-04,-1.06780e-04
2.81896e-16,1.00000e+02,5.04980e-04,9.54180e-05,-9.54180e-05
2.46655e-16,1.00000e+02,4.54700e-04,8.57580e-05,-8.57580e-05
2.19247e-16,1.00000e+02,4.09820e-04,7.75090e-05,-7.75090e-05
1.97326e-16,1.00000e+02,3.70200e-04,7.03980e-05,-7.03980e-05
9.86614e-17,1.00000e+02,1.59478e-04,7.97290e-05,-7.97290e-05
6.57740e-17,1.00000e+02,2.07580e-04,1.03390e-04,-1.03390e-04
4.93292e-17,1.00000e+02,2.03020e-04,9.93620e-05,-9.93620e-05
3.94652e-17,1.00000e+02,1.86072e-04,8.78260e-05,-8.78260e-05
3.28870e-17,1.00000e+02,1.69224e-04,7.59730e-05,-7.59730e-05
2.81896e-17,1.00000e+02,1.54868e-04,6.58350e-05,-6.58350e-05
2.46655e-17,1.00000e+02,1.42832e-04,5.76970e-05,-5.76970e-05
2.19247e-17,1.00000e+02,1.32548e-04,5.13000e-05,-5.13000e-05
1.97326e-17,1.00000e+02,1.23548e-04,4.62640e-05,-4.62640e-05
9.86614e-18,1.00000e+02,1.09144e-04,5.45720e-05,-5.45720e-05
6.57740e-18,1.00000e+02,6.34300e-05,3.17150e-05,-3.17150e-05
4.93292e-18,1.00000e+02,4.08000e-05,2.04000e-05,-2.04000e-05
3.94652e-18,1.00000e+02,2.83000e-05,1.41500e-05,-1.41500e-05
3.28870e-18,1.00000e+02,2.07360e-05,1.03680e-05,-1.03680e-05
2.81896e-18,1.00000e+02,1.58296e-05,7.91480e-06,-7.91480e-06
2.46655e-18,1.00000e+02,1.24728e-05,6.23640e-06,-6.23640e-06
2.19247e-18,1.00000e+02,1.00778e-05,5.03890e-06,-5.03890e-06
1.97326e-18,1.00000e+02,8.31040e-06,4.15520e-06,-4.15520e-06
9.86614e-14,2.00000e+02,1.41458e-22,7.07290e-23,-7.07290e-23
6.57740e-14,2.00000e+02,8.72800e-16,4.36360e-16,-4.36360e-16
4.93292e-14,2.00000e+02,1.83126e-12,9.14490e-13,-9.14490e-13
3.94652e-14,2.00000e+02,1.63474e-10,8.13010e-11,-8.13010e-11
3.28870e-14,2.00000e+02,3.07200e-09,1.51450e-09,-1.51450e-09
2.81896e-14,2.00000e+02,2.39900e-08,1.16640e-08,-1.16640e-08
2.46655e-14,2.00000e+02,1.09052e-07,5.20550e-08,-5.20550e-08
2.19247e-14,2.00000e+02,3.47220e-07,1.62180e-07,-1.62180e-07
1.97326e-14,2.00000e+02,8.64120e-07,3.94200e-07,-3.94200e-07
9.86614e-15,2.00000e+02,4.02820e-05,1.48890e-05,-1.48890e-05
6.57740e-15,2.00000e+02,1.29036e-04,3.88500e-05,-3.88500e-05
4.93292e-15,2.00000e+02,2.47900e-04,5.66920e-05,-5.66920e-05
3.94652e-15,2.00000e+02,3.96940e-04,6.99760e-05,-6.99760e-05
3.28870e-15,2.00000e+02,5.65400e-04,8.31680e-05,-8.31680e-05
2.81896e-15,2.00000e+02,7.40360e-04,9.77620e-05,-9.77620e-05
2.46655e-15,2.00000e+02,9.15700e-04,1.13300e-04,-1.13300e-04
2.19247e-15,2.00000e+02,1.09188e-03,1.29720e-04,-1.29720e-04
1.97326e-15,2.00000e+02,1.27198e-03,1.48530e-04,-1.48530e-04
9.86614e-16,2.00000e+02,4.15000e-03,8.97110e-04,-8.97110e-04
6.57740e-16,2.00000e+02,3.24400e-03,5.76230e-04,-5.76230e-04
4.93292e-16,2.00000e+02,2.69300e-03,4.10290e-04,-4.10290e-04
3.94652e-16,2.00000e+02,2.33020e-03,3.15890e-04,-3.15890e-04
3.28870e-16,2.00000e+02,2.06300e-03,2.58210e-04,-2.58210e-04
2.81896e-16,2.00000e+02,1.85010e-03,2.20350e-04,-2.20350e-04
2.46655e-16,2.00000e+02,1.67232e-03,1.93640e-04,-1.93640e-04
2.19247e-16,2.00000e+02,1.51992e-03,1.73490e-04,-1.73490e-04
1.97326e-16,2.00000e+02,1.38732e-03,1.57470e-04,-1.57470e-04
9.86614e-17,2.00000e+02,4.27980e-06,2.13990e-06,-2.13990e-06
6.57740e-17,2.00000e+02,2.48820e-05,1.24410e-05,-1.24410e-05
4.93292e-17,2.00000e+02,5.06180e-05,2.53090e-05,-2.53090e-05
3.94652e-17,2.00000e+02,7.00600e-05,3.50300e-05,-3.50300e-05
3.28870e-17,2.00000e+02,8.13640e-05,4.06820e-05,-4.06820e-05
2.81896e-17,2.00000e+02,8.63080e-05,4.31540e-05,-4.31540e-05
2.46655e-17,2.00000e+02,8.70380e-05,4.35190e-05,-4.35190e-05
2.19247e-17,2.00000e+02,8.52040e-05,4.26020e-05,-4.26020e-05
1.97326e-17,2.00000e+02,8.19180e-05,4.09590e-05,-4.09590e-05
9.86614e-18,2.00000e+02,3.58400e-06,1.78790e-06,-1.78790e-06
6.57740e-18,2.00000e+02,8.88340e-06,4.35550e-06,-4.35550e-06
4.93292e-18,2.00000e+02,1.21436e-05,5.74410e-06,-5.74410e-06
3.94652e-18,2.00000e+02,1.36036e-05,6.15210e-06,-6.15210e-06
3.28870e-18,2.00000e+02,1.40022e-05,6.05520e-06,-6.05520e-06
2.81896e-18,2.00000e+02,1.38190e-05,5.74290e-06,-5.74290e-06
2.46655e-18,2.00000e+02,1.33278e-05,5.35750e-06,-5.35750e-06
2.19247e-18,2.00000e+02,1.26842e-05,4.96320e-06,-4.96320e-06
1.97326e-18,2.00000e+02,1.19770e-05,4.58710e-06,-4.58710e-06
9.86614e-14,3.00000e+02,5.55540e-29,2.77770e-29,-2.77770e-29
6.57740e-14,3.00000e+02,4.12720e-20,2.06290e-20,-2.06290e-20
4.93292e-14,3.00000e+02,9.51600e-16,4.74340e-16,-4.74340e-16
3.94652e-14,3.00000e+02,3.59140e-13,1.77500e-13,-1.77500e-13
3.28870e-14,3.00000e+02,1.77320e-11,8.62120e-12,-8.62120e-12
